lau,launame,country,ccode,year,fuacode,fuaname,area_km_sq,urban_area_type,NUTS3CODE,macroregion,pop_density_km_sq,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,population_m_25plus,population_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,population_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,former_GDR,population_0to14_m,population_0to14_f,population_15to64_m,population_15to64_f,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,population_m_45to64,population_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,population_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc
1440,Ale,Sweden,752,2001,SE002,Göteborg,332.1300048828125,Metropolitan Area,SE232,,77.057175,1524,5388,13015,660,2747,6549,864,2641,6466,7.5610242,26.731495,64.571342,6.545022,27.241175,64.944466,8.5782366,26.221207,64.197777,25593,20156,5437,16837,3319,12973,10084,2889,8574,1510,12620,10072,2548,8263,1809,1493,1661,1885,1767,1768,1375,1636,1826,1762,1664,2868,3297,3711,3529,3432,812,739,1014,1100,1216,1585,900,980,1262,1111,1152,1144,1712,1719,2276,2211,2368,2729,494,680,617,433,274,143,514,537,460,464,487,285,1008,1217,1077,897,761,428,24,206,185,220,160,69,22,122,147,175,123,71,46,328,332,395,283,140,59.054546,35.927273,1.7454545,60.281311,34.427326,1.4735432,59.693165,35.146442,1.6039052,45.17115,41.564793,12.591687,59.000603,32.329922,7.3449731,52.138306,36.912346,9.9484377,55.531216,33.789703,10.131434,66.9496,24.403183,7.7984085,61.331177,29.021828,8.9463758,62.429058,24.574347,12.485811,62.874928,26.259197,9.9037914,62.652309,25.417965,11.192972,73.07692,16.466347,9.6153851,65.158371,27.545248,6.9570136,68.997665,22.17366,8.2459211,87.61747,7.9049196,3.8142619,75.761589,18.874172,4.7019868,82.223564,12.895451,4.2181382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Alingsås,Sweden,752,2001,SE002,Göteborg,551.1599731445313,Metropolitan Area,SE232,,63.968723,3435,7906,16873,1502,3986,8141,1933,3920,8732,12.068724,27.777388,59.282551,10.910148,28.953295,59.134163,13.154134,26.675739,59.421574,35257,28462,6795,22257,6205,17208,13767,3441,11151,2616,18049,14695,3354,11106,3589,2180,2042,2238,2536,2155,2073,2057,2319,2536,2121,4253,4099,4557,5072,4276,1157,741,1035,1322,1477,3000,1304,907,1286,1398,1325,1921,2461,1648,2321,2720,2802,4921,814,917,842,697,331,319,786,881,625,709,566,419,1600,1798,1467,1406,897,738,47,379,436,507,305,259,36,221,310,416,254,265,83,600,746,923,559,524,55.812832,39.266762,2.2672455,59.816513,36.055046,1.6513761,57.865036,37.620502,1.9515636,36.023335,44.579483,18.424891,44.417236,43.143978,10.822722,40.204929,43.864357,14.637716,44.631306,36.308754,18.801207,57.462021,27.92672,13.851653,50.932632,32.19223,16.370419,52.129337,27.484226,19.992113,55.126183,27.957413,16.403786,53.627762,27.720819,18.19795,69.636963,15.605846,14.38001,61.484921,26.264502,11.786543,65.528534,20.977549,13.072966,83.588745,8.8882694,7.216495,73.432724,16.016819,10.12997,79.307007,11.893634,8.4448023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0764,Alvesta,Sweden,752,2001,,,1074.219970703125,Rural and Towns,SE212,,17.647224,1024,3783,10423,444,1910,5331,580,1873,5092,6.6437421,24.544216,67.624733,5.7003465,24.521761,68.442673,7.6075549,24.567156,66.789085,18957,15413,3544,11804,3609,9615,7789,1826,6154,1635,9342,7624,1718,5650,1974,1240,1032,1259,1463,1160,1130,976,1182,1333,1029,2370,2008,2441,2796,2189,643,399,679,817,801,1753,687,591,911,964,829,1349,1330,990,1590,1781,1630,3102,445,436,379,351,141,121,506,363,279,341,228,193,951,799,658,692,369,314,10,120,117,161,81,91,2,63,55,145,94,85,12,183,172,306,175,176,56.902657,39.380531,.88495576,55.403225,40.80645,.16129032,56.118145,40.126583,.50632912,40.881149,44.672131,12.295082,57.267441,35.174419,6.104651,49.302788,39.790836,9.1135454,57.445007,32.064297,9.8984776,72.359016,22.160444,4.3685465,65.137238,26.956165,7.0462923,61.290321,26.331583,12.078019,65.892006,23.308271,9.9111414,63.698139,24.749641,10.944206,77.842567,13.702624,7.8717203,71.465515,19.655172,8.1034479,74.463226,16.857012,7.9945183,88.804459,6.1296859,4.6099291,82.507645,11.804281,5.1987767,85.95179,8.7004709,4.8766971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0604,Aneby,Sweden,752,2001,,,553.8900146484375,Rural and Towns,SE211,,12.070989,384,1172,3701,159,596,1837,225,576,1864,7.2302766,22.067408,69.685555,6.0640731,22.73074,70.06102,8.3674231,21.420603,69.31945,6686,5311,1375,4075,1236,3352,2622,730,2065,557,3334,2689,645,2010,679,403,326,439,483,414,417,314,438,458,383,820,640,877,941,797,255,126,259,310,308,606,239,195,321,330,300,452,494,321,580,640,608,1058,140,141,133,100,37,25,147,108,86,109,74,72,287,249,219,209,111,97,11,45,45,47,33,44,2,21,28,43,36,29,13,66,73,90,69,73,61.151077,33.573143,2.6378896,59.30521,36.476425,.49627793,60.243904,35,1.5853659,40.127388,44.904457,14.33121,59.815952,33.128834,6.4417176,50.15625,38.90625,10.3125,59.13242,30.365297,10.273973,73.120728,19.589977,6.3781323,66.134552,24.971495,8.3238316,67.685593,21.834061,10.262009,68.322983,22.567287,8.9026918,68.012749,22.210415,9.5642929,80.417755,9.660574,8.616188,72.463768,17.874395,8.695652,76.286072,13.927227,8.6574659,89.248894,3.6818852,6.4801178,81.14901,12.926392,5.2064633,85.598709,7.8478966,5.9061489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Arboga,Sweden,752,2001,,,419.3800048828125,Medium Sized Areas,SE125,,32.466976,805,3106,7172,323,1828,3382,482,1278,3790,7.207449,27.809114,64.213448,5.7916441,32.777477,60.641922,8.6194563,22.854076,67.775391,13616,11169,2447,8448,2721,6807,5577,1230,4396,1181,6809,5592,1217,4052,1540,784,770,946,897,999,643,729,841,869,970,1427,1499,1787,1766,1969,360,299,488,552,736,1355,439,412,640,525,581,785,799,711,1128,1077,1317,2140,263,323,272,203,128,89,317,309,258,287,341,316,580,632,530,490,469,405,6,101,71,113,100,91,4,44,45,82,72,76,10,145,116,195,172,167,55.987556,40.902023,.93312597,55.9949,40.433674,.51020408,55.991592,40.644711,.70077085,41.015091,44.30727,13.854595,53.506493,40.129871,5.7142859,47.431622,42.161442,9.6731157,58.026161,32.342449,8.4423304,67.653275,27.272728,4.7568712,63.122551,29.658646,6.4913263,63.52129,23.360184,13.003452,58.528427,31.995541,9.1415834,60.985279,27.746319,11.041903,75.876289,13.195876,10.309278,58.158157,34.134132,7.2072072,66.886742,23.819197,8.7353983,87.987015,5.7792206,5.909091,66.469093,26.756985,6.4352245,78.647552,14.884233,6.1374493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,Arjeplog,Sweden,752,2001,,,14494.16015625,Rural and Towns,SE332,,.22857481,142,515,1320,50,262,742,92,253,578,,,,,,,,,,3313,,511,1995,807,,,,,,,,,,,,,,,,,,,,,350,306,415,471,453,90,71,118,138,161,,151,85,163,174,169,,241,156,281,312,330,,46,59,66,47,35,,48,57,51,60,46,,94,116,117,107,81,,6,18,8,33,27,,1,16,6,12,15,,7,34,14,45,42,,,,,,,,68.85714,26.857143,2,,,,,,,50.980392,37.908497,11.111111,,,,,,,67.710846,28.192772,3.3734939,,,,,,,66.242035,22.717623,9.5541401,,,,,,,72.847679,17.880795,9.2715235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,Arvidsjaur,Sweden,752,2001,,,6126.2998046875,Rural and Towns,SE332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Arvika,Sweden,752,2001,,,1956.130004882813,Rural and Towns,SE311,,13.389703,1840,5237,14285,791,2685,6868,1049,2552,7417,8.4941368,24.175976,65.944969,7.5240178,25.539808,65.328644,9.4089155,22.889946,66.526146,26192,21662,4530,15876,5786,12853,10513,2340,8076,2437,13339,11149,2190,7800,3349,1403,1521,1651,1875,1626,1352,1425,1606,1798,1619,2755,2946,3257,3673,3245,737,535,898,1093,1263,2891,738,695,1161,1209,1148,1917,1475,1230,2059,2302,2411,4808,550,662,506,418,171,245,603,695,360,420,299,308,1153,1357,866,838,470,553,24,206,189,269,164,197,14,103,107,224,155,188,38,309,296,493,319,385,54.511833,40.680473,1.7751479,52.601566,42.979328,.99786174,53.539021,41.851181,1.3793104,37.543861,46.456139,14.456141,45.693623,45.693623,6.7718606,41.751526,46.062458,10.488798,55.915318,31.506849,11.768369,70.321014,21.804966,6.4809208,63.217686,26.588886,9.0881176,60.789768,23.248053,14.961068,64.480003,22.4,11.946667,62.673565,22.815138,13.422271,78.011116,10.562076,10.129709,70.602707,18.388683,9.5325956,74.29892,14.483821,9.8305082,86.324272,7.3156166,5.8823528,78.662292,12.63849,7.7144032,83.09713,9.5575523,6.6539922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,Askersund,Sweden,752,2001,,,1019.739990234375,Rural and Towns,SE124,,11.260714,632,2069,6703,269,1054,3376,363,1015,3327,6.6786432,21.864101,70.833771,5.6822982,22.264469,71.313896,7.6760416,21.463312,70.353142,11483,9463,2020,7135,2328,5762,4734,1028,3675,1059,5721,4729,992,3460,1269,641,559,772,873,830,569,556,722,791,822,1210,1115,1494,1664,1652,346,266,459,514,619,1123,381,380,594,612,582,827,727,646,1053,1126,1201,1950,200,230,207,184,110,84,241,151,127,199,159,177,441,381,334,383,269,261,7,58,54,93,90,61,7,28,48,57,79,50,14,86,102,150,169,111,60.808437,35.149384,1.2302284,59.438377,37.597504,1.0920436,60.082645,36.446281,1.1570247,47.841728,41.366905,10.431655,67.978531,27.012522,5.0089445,57.937222,34.170403,7.7130046,63.573406,28.670361,7.4792242,76.943008,16.450777,6.2176166,70.481926,22.356091,6.8273091,64.981033,23.261694,11.757269,70.103096,22.79496,6.5292096,67.668266,23.016827,9.0144234,75.304138,13.381995,10.948905,70.120483,19.156626,9.5180721,72.69976,16.283293,10.230024,88.494881,6.6193852,4.8069344,78.092537,16.713881,4.7214355,83.762886,11.21134,4.7680411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,Avesta,Sweden,752,2001,,,668.989990234375,Medium Sized Areas,SE312,,33.378677,1229,4451,12843,488,2392,6316,741,2059,6527,6.5841637,23.845495,68.804245,5.2603211,25.784197,68.082352,7.8922143,21.929918,69.517517,22330,18666,3664,13906,4760,11167,9277,1890,7225,2052,11163,9389,1774,6681,2708,1308,1242,1505,1698,1472,1167,1162,1407,1554,1391,2475,2404,2912,3252,2863,652,480,850,1023,1128,2394,764,723,1081,1096,1022,1630,1416,1203,1931,2119,2150,4024,456,547,410,360,154,132,499,434,320,472,332,335,955,981,730,832,486,467,23,128,138,168,108,176,10,70,93,116,114,85,33,198,231,284,222,261,55.869751,39.074551,1.9708655,58.409786,38.149849,.76452601,57.21212,38.585857,1.3333334,41.30809,47.074009,11.015491,58.212559,34.943638,5.6360707,50.041595,40.806988,8.2362728,60.412224,29.140015,9.8081026,71.82724,21.262459,6.1794019,66.311813,25.068682,7.9326925,65.830116,23.166023,10.810811,64.546524,27.797409,6.8315663,65.159904,25.584255,8.7330875,81.092735,11.071172,7.7641983,69.429344,22.554348,7.744565,75.096054,16.975201,7.7541041,88.404724,4.8744459,6.4992614,79.4347,16.325537,4.1423001,84.537819,9.8109245,5.4831934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
