ccode,lau,year,NUTS3CODE,urban_combined,total_votes,Nameoffunctionalurbanarea,fua_oecd,fuaname,oecd_mun_id,to1,total_voters,total_urban_votes,total_nat_votes,total_urbano_votes,vote_communist,vote_green,vote_sd,vote_lib,vote_cons,vote_cd,vote_rpop,vote_mainstream,vote_other,main_netherlands,pct_communist,pct_green,pct_sd,pct_liberal,pct_cons,pct_cd,pct_rpop,pct_main,pct_other,share_party001,share_party002,share_party003,share_party004,share_party005,share_party006,share_party007,share_party008,share_party009,share_party0010,share_party0011,share_party0012,share_party0013,share_party0014,share_party0015,share_party0016,share_party0017,share_party0018,share_party0019,share_party0020,share_party0021,share_party0022,share_party0023,share_party0024,share_party0025,share_party0026,share_party0027,share_party0028,share_party0029,share_party0030,share_party0031,share_party0032,share_party0033,share_party0034,share_party0035,share_party0036,share_party0037,share_party0038,share_party0039,share_party0040,share_party0041,share_party0042,share_party0043,share_party0044,share_party0045,share_party0046,share_party0047,share_party0048,share_party0049,share_party0050,share_party0051,share_party0052,share_party0053,share_party0054,share_party0055,share_party0056,share_party0057,share_party0058,share_party0059,share_party0060,share_party0096,share_start,sd_start,party_top,party001,party002,party003,party004,party005,party006,party007,party008,party009,party0010,party0011,party0012,party0013,party0014,party0015,party0016,party0017,party0018,party0019,party0020,party0021,party0022,party0023,party0024,party0025,party0026,party0027,party0028,party0029,party0030,party0031,party0032,party0033,party0034,party0035,party0036,party0037,party0038,party0039,party0040,party0041,party0042,party0043,party0044,party0045,party0046,party0047,party0048,party0049,party0050,party0051,party0052,party0053,party0054,party0055,party0056,party0057,party0058,party0059,party0060,party0096
528,"GM0328",1986,"",,2717,"","","","GM0328",.903859,3006,2717,9142693,2717,21,45,375,663,284,1300,1,2338,28,.805668,.0077291,.0165624,.1380199,.2440191,.1045271,.4784689,.0003681,.8605079,.0103055,.1380199,.1891792,.4784689,.0548399,.0817078,.0077291,.0150902,.0220832,.0003681,.0003681,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0121458,,,3,375,514,1300,149,222,21,41,60,1,1,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0765",1986,"NL111",2,9054,"","","","GM0765",.8958821,10091,1602253,9142693,2482720,67,61,5561,928,194,1586,2,8075,655,.8661366,.0074,.0067374,.6142037,.1024961,.021427,.1751712,.0002209,.891871,.0723437,.6142037,.0767617,.1751712,.0257345,.0039761,.0055224,.0119284,.0115971,.0002209,.0018776,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0730064,.4828893,1,1,5561,695,1586,233,36,50,108,105,2,17,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1895",1986,"NL111",1,28219,"","","","GM1895",.9062155,31542,951325,9142693,2482720,288,198,16238,4005,627,5064,20,25307,1779,.8615118,.0102059,.0070165,.5754279,.1419257,.0222191,.1794536,.0007087,.8968071,.0630426,.5754279,.1066303,.1794536,.0352954,.001382,.0073709,.0134661,.0143166,.0007087,.0020199,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0639286,.4597067,1,1,16238,3009,5064,996,39,208,380,404,20,57,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0037",1986,"NL111",2,22302,"","","","GM0037",.8827581,25264,1602253,9142693,2482720,180,163,10219,2550,1601,7325,8,20094,256,.8690701,.008071,.0073088,.45821,.1143395,.0717873,.3284459,.0003587,.9009954,.0114788,.45821,.0824141,.3284459,.0319254,.0022868,.0302215,.039279,.0128688,.0003587,.0014348,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0125549,.3908094,1,1,10219,1838,7325,712,51,674,876,287,8,32,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1950",1986,"NL111",1,17673,"","","","GM1950",.8825976,20104,951325,9142693,2482720,125,103,9591,2599,297,4501,11,16691,446,.9153511,.0070729,.0058281,.5426922,.1470605,.0168053,.2546823,.0006224,.944435,.0252362,.5426922,.1179766,.2546823,.0290839,.0010751,.0044135,.0113167,.0103548,.0006224,.0013014,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0264811,.463019,1,1,9591,2085,4501,514,19,78,200,183,11,23,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0047",1986,"NL111",3,18466,"Groningen","NL007","Groningen","GM0047",.8866375,20827,4427124,9142693,2482720,241,158,10487,3564,386,3376,10,17427,244,.8960251,.013051,.0085563,.5679086,.1930034,.0209033,.1828225,.0005415,.9437344,.0132135,.5679086,.1452941,.1828225,.0477093,.0009748,.0083938,.0115347,.0159212,.0005415,.0040074,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0148922,.5006459,1,1,10487,2683,3376,881,18,155,213,294,10,74,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0003",1986,"NL112",3,8234,"Groningen","NL007","Groningen","GM0003",.8648251,9521,4427124,9142693,2482720,101,76,4346,1260,195,2086,4,7692,166,.8871751,.0122662,.00923,.5278115,.153024,.0236823,.2533398,.0004858,.9341754,.0201603,.5278115,.1060238,.2533398,.0470002,.0012145,.0159096,.0065582,.0171241,.0004858,.0034005,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0211319,.4593618,1,1,4346,873,2086,387,10,131,54,141,4,28,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0024",1986,"NL112",3,7440,"Groningen","NL007","Groningen","GM0024",.9226235,8076,4427124,9142693,2482720,94,98,2738,1101,522,2741,1,6580,145,.8475807,.0126344,.013172,.3680108,.1479839,.0701613,.368414,.0001344,.8844086,.0194892,.3680108,.1111559,.368414,.036828,.0018817,.0516129,.0166667,.0245968,.0001344,.000672,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0200269,.307009,0,3,2738,827,2741,274,14,384,124,183,1,5,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0010",1986,"NL112",3,20465,"Groningen","NL007","Groningen","GM0010",.8680683,24247,4427124,9142693,2482720,258,187,10050,3755,609,5065,25,18870,516,.8661618,.0126069,.0091376,.4910823,.183484,.0297581,.2474957,.0012216,.922062,.0252138,.4910823,.1275837,.2474957,.0559003,.0014659,.0150989,.0131933,.0162717,.0012216,.0029318,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0277547,.4191392,1,1,10050,2611,5065,1144,30,309,270,333,25,60,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0014",1986,"NL113",3,132791,"Groningen","NL007","Groningen","GM0014",.8967004,155131,4427124,9142693,2482720,5095,3597,60314,30605,6476,23434,108,114353,3162,.7868304,.0383686,.0270877,.4542025,.2304749,.0487684,.1764728,.0008133,.8611502,.0238119,.4542025,.1561552,.1764728,.0743198,.0013856,.0415465,.0058362,.0545519,.0008133,.0092175,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0254987,.3704285,1,1,60314,20736,23434,9869,184,5517,775,7244,108,1224,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
