ccode,lau,year,NUTS3CODE,urban_combined,total_votes,Nameoffunctionalurbanarea,fua_oecd,fuaname,oecd_mun_id,to1,total_voters,total_urban_votes,total_nat_votes,total_urbano_votes,vote_communist,vote_green,vote_sd,vote_lib,vote_cons,vote_cd,vote_rpop,vote_mainstream,vote_other,main_netherlands,pct_communist,pct_green,pct_sd,pct_liberal,pct_cons,pct_cd,pct_rpop,pct_main,pct_other,share_party001,share_party002,share_party003,share_party004,share_party005,share_party006,share_party007,share_party008,share_party009,share_party0010,share_party0011,share_party0012,share_party0013,share_party0014,share_party0015,share_party0016,share_party0017,share_party0018,share_party0019,share_party0020,share_party0021,share_party0022,share_party0023,share_party0024,share_party0025,share_party0026,share_party0027,share_party0028,share_party0029,share_party0030,share_party0031,share_party0032,share_party0033,share_party0034,share_party0035,share_party0036,share_party0037,share_party0038,share_party0039,share_party0040,share_party0041,share_party0042,share_party0043,share_party0044,share_party0045,share_party0046,share_party0047,share_party0048,share_party0049,share_party0050,share_party0051,share_party0052,share_party0053,share_party0054,share_party0055,share_party0056,share_party0057,share_party0058,share_party0059,share_party0060,share_party0096,share_start,sd_start,party_top,party001,party002,party003,party004,party005,party006,party007,party008,party009,party0010,party0011,party0012,party0013,party0014,party0015,party0016,party0017,party0018,party0019,party0020,party0021,party0022,party0023,party0024,party0025,party0026,party0027,party0028,party0029,party0030,party0031,party0032,party0033,party0034,party0035,party0036,party0037,party0038,party0039,party0040,party0041,party0042,party0043,party0044,party0045,party0046,party0047,party0048,party0049,party0050,party0051,party0052,party0053,party0054,party0055,party0056,party0057,party0058,party0059,party0060,party0096
528,"GM0037",1982,"NL111",2,20670,"","","","GM0037",.8371133,24692,1428423,8236516,2254601,314,206,8398,2890,1802,6264,0,17552,796,.8233672,.0151911,.0099661,.4062893,.1398162,.0852927,.3030479,0,.8491533,.0385099,.4062893,.11403,.3030479,.0257862,.0020319,.0275278,.0557329,.0206096,0,.0036284,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0413159,.3908094,1,1,8398,2357,6264,533,42,569,1152,426,0,75,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1950",1982,"NL111",1,16545,"","","","GM1950",.8534085,19509,879188,8236516,2254601,246,112,8023,3060,416,3859,0,14942,829,.877123,.0148685,.0067694,.4849199,.1849501,.023149,.2332427,0,.9031127,.0501058,.4849199,.1589604,.2332427,.0259897,.0007857,.0032638,.0190994,.0178302,0,.002055,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0538531,.463019,1,1,8023,2630,3859,430,13,54,316,295,0,34,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0047",1982,"NL111",3,17062,"Groningen","NL007","Groningen","GM0047",.8417366,20270,3949916,8236516,2254601,380,156,8943,3701,479,2732,0,15376,671,.8680108,.0222717,.0091431,.5241472,.2169148,.0249092,.1601219,0,.9011839,.0393272,.5241472,.1837416,.1601219,.0331731,.0011136,.0070918,.0167038,.0234439,0,.0063885,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0440746,.5006459,1,1,8943,3135,2732,566,19,121,285,400,0,109,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0765",1982,"NL111",2,8500,"","","","GM0765",.8567435,9900,1428423,8236516,2254601,102,65,4330,1052,238,1405,0,6787,1308,.7804706,.012,.0076471,.5094118,.1237647,.026,.1652941,0,.7984706,.1538823,.5094118,.1057647,.1652941,.018,.0034118,.0027059,.0198824,.0167059,0,.0021176,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.1567059,.4828893,1,1,4330,899,1405,153,29,23,169,142,0,18,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1895",1982,"NL111",1,27084,"","","","GM1895",.8851642,31222,879188,8236516,2254601,491,205,13025,4428,845,4158,0,21611,3932,.7761778,.0181288,.007569,.4809112,.1634914,.0283562,.1535224,0,.7979249,.145178,.4809112,.1417442,.1535224,.0217472,.0016246,.0060922,.0206395,.0220056,0,.0024369,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.1492763,.4597067,1,1,13025,3839,4158,589,44,165,559,596,0,66,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0010",1982,"NL112",3,19417,"Groningen","NL007","Groningen","GM0010",.8357201,23989,3949916,8236516,2254601,525,243,8425,4050,815,4259,0,16734,1100,.8262347,.0270382,.0125148,.4338981,.2085801,.0382654,.2193439,0,.8618221,.0566514,.4338981,.1729927,.2193439,.0355874,.0016995,.0147294,.0218365,.0286347,0,.0057166,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0655611,.4191392,1,1,8425,3359,4259,691,33,286,424,556,0,111,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0024",1982,"NL112",3,7128,"Groningen","NL007","Groningen","GM0024",.902565,7910,3949916,8236516,2254601,175,103,2288,1294,554,2421,0,6003,293,.8087822,.0245511,.0144501,.3209876,.1815376,.0746352,.3396465,0,.8421717,.0411055,.3209876,.1481481,.3396465,.0333894,.002385,.0446128,.0276375,.0368967,0,.0016835,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0446128,.307009,0,3,2288,1056,2421,238,17,318,197,263,0,12,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0003",1982,"NL112",3,7675,"Groningen","NL007","Groningen","GM0003",.8332428,9211,3949916,8236516,2254601,166,71,3593,1398,279,1827,0,6818,341,.8545928,.0216287,.0092508,.4681433,.1821498,.0336156,.2380456,0,.8883387,.04443,.4681433,.1484039,.2380456,.0337459,.002215,.0158958,.0155049,.0228013,0,.0049511,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0502932,.4593618,1,1,3593,1139,1827,259,17,122,119,175,0,38,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1966",1982,"NL113",1,32163,"","","","GM1966",.9017472,35727,879188,8236516,2254601,602,489,10662,6031,3354,10113,0,26806,912,.8044648,.0187172,.0152038,.3314989,.1875136,.1025091,.3144296,0,.8334422,.0283556,.3314989,.1585362,.3144296,.0289774,.0021453,.0824239,.0179399,.0308429,0,.002021,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0311849,.3072583,0,1,10662,5099,10113,932,69,2651,577,992,0,65,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1969",1982,"NL113",1,32101,"","","","GM1969",.8917382,36388,879188,8236516,2254601,472,357,9416,6874,3398,10642,0,26932,942,.8072335,.0147036,.0111211,.2933242,.2141366,.1018348,.3315161,0,.838977,.0293449,.2933242,.1823931,.3315161,.0317436,.002866,.0752936,.0236753,.0223358,0,.0020872,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0347653,.2761411,0,3,9416,5855,10642,1019,92,2417,760,717,0,67,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
