ccode,lau,year,NUTS3CODE,urban_combined,total_votes,Nameoffunctionalurbanarea,fua_oecd,fuaname,oecd_mun_id,to1,total_voters,total_urban_votes,total_nat_votes,total_urbano_votes,vote_communist,vote_green,vote_sd,vote_lib,vote_cons,vote_cd,vote_rpop,vote_mainstream,vote_other,main_netherlands,pct_communist,pct_green,pct_sd,pct_liberal,pct_cons,pct_cd,pct_rpop,pct_main,pct_other,share_party001,share_party002,share_party003,share_party004,share_party005,share_party006,share_party007,share_party008,share_party009,share_party0010,share_party0011,share_party0012,share_party0013,share_party0014,share_party0015,share_party0016,share_party0017,share_party0018,share_party0019,share_party0020,share_party0021,share_party0022,share_party0023,share_party0024,share_party0025,share_party0026,share_party0027,share_party0028,share_party0029,share_party0030,share_party0031,share_party0032,share_party0033,share_party0034,share_party0035,share_party0036,share_party0037,share_party0038,share_party0039,share_party0040,share_party0041,share_party0042,share_party0043,share_party0044,share_party0045,share_party0046,share_party0047,share_party0048,share_party0049,share_party0050,share_party0051,share_party0052,share_party0053,share_party0054,share_party0055,share_party0056,share_party0057,share_party0058,share_party0059,share_party0060,share_party0096,share_start,sd_start,party_top,party001,party002,party003,party004,party005,party006,party007,party008,party009,party0010,party0011,party0012,party0013,party0014,party0015,party0016,party0017,party0018,party0019,party0020,party0021,party0022,party0023,party0024,party0025,party0026,party0027,party0028,party0029,party0030,party0031,party0032,party0033,party0034,party0035,party0036,party0037,party0038,party0039,party0040,party0041,party0042,party0043,party0044,party0045,party0046,party0047,party0048,party0049,party0050,party0051,party0052,party0053,party0054,party0055,party0056,party0057,party0058,party0059,party0060,party0096
528,"GM0213",2002,"NL225",2,13441,"Apeldoorn","NL014","Apeldoorn","GM0213",.8235907,16320,1675994,9501152,2535762,651,788,3000,3274,47,3695,1917,9640,69,.6665426,.0484339,.0586266,.2231977,.2435831,.0034968,.2749051,.1426233,.7172086,.0051335,.2231977,.1765494,.2667956,.0506659,.0034968,0,0,.0586266,0,.0484339,0,,.1426233,0,.0081095,.0163678,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0051335,.4075391,1,3,3000,2373,3586,681,47,0,0,788,0,651,0,,1917,0,109,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1945",2002,"NL226",3,21316,"Nijmegen","NL013","Nijmegen","NL250241",.8027897,26513,4600133,9501152,6905275,1577,1729,3984,4017,14,6628,3240,14313,127,.6246951,.073982,.0811128,.1869019,.18845,.0006568,.3109401,.1519985,.6714674,.005958,.1869019,.1300901,.3077031,.0467724,.0006568,0,0,.0811128,0,.073982,0,,.1519985,0,.003237,.0115875,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.005958,.2911099,0,3,3984,2773,6559,997,14,0,0,1729,0,1577,0,,3240,0,69,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0274",2002,"NL226",3,20943,"Arnhem","NL009","Arnhem","GM0274",.8346485,25092,4600133,9501152,6905275,1190,1898,3257,5442,110,6197,2746,14314,103,.6225947,.0568209,.0906269,.1555174,.2598481,.0052524,.2958984,.1311178,.6834742,.0049181,.1555174,.1875567,.2795206,.0608795,.0052524,0,0,.0906269,0,.0568209,0,,.1311178,0,.0163778,.0114119,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0049181,.2385853,0,3,3257,3928,5854,1275,110,0,0,1898,0,1190,0,,2746,0,343,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0252",2002,"NL226",3,10340,"Nijmegen","NL013","Nijmegen","GM0252",.84768,12198,4600133,9501152,6905275,587,944,1419,2495,2,3530,1319,7308,44,.644294,.0567698,.0912959,.137234,.2412959,.0001934,.3413927,.1275629,.7067698,.0042553,.137234,.1681818,.3388782,.0624758,.0001934,0,0,.0912959,0,.0567698,0,,.1275629,0,.0025145,.0106383,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0042553,.1531635,0,3,1419,1739,3504,646,2,0,0,944,0,587,0,,1319,0,26,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0299",2002,"NL226",3,25759,"Arnhem","NL009","Arnhem","GM0299",.7963819,32679,4600133,9501152,6905275,1488,1572,4070,5434,27,9047,3970,18044,151,.6480842,.0577662,.0610272,.158003,.2109554,.0010482,.3512171,.1541209,.700493,.005862,.158003,.1438332,.3462479,.0524089,.0010482,0,0,.0610272,0,.0577662,0,,.1541209,0,.0049691,.0147133,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.005862,.2484762,0,3,4070,3705,8919,1350,27,0,0,1572,0,1488,0,,3970,0,128,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0209",2002,"NL226",3,14860,"Nijmegen","NL013","Nijmegen","GM0209",.7971247,18642,4600133,9501152,6905275,953,1122,2141,3619,16,4560,2336,10052,113,.62214,.0641319,.0755047,.1440781,.2435397,.0010767,.3068641,.1572005,.6764469,.0076043,.1440781,.176245,.301817,.0543069,.0010767,0,0,.0755047,0,.0641319,0,,.1572005,0,.0050471,.0129879,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0076043,.2222222,0,3,2141,2619,4485,807,16,0,0,1122,0,953,0,,2336,0,75,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0225",2002,"NL226",3,10332,"Nijmegen","NL013","Nijmegen","GM0225",.7987013,12936,4600133,9501152,6905275,594,604,1696,2337,13,3379,1657,7220,52,.6471158,.0574913,.0584592,.1641502,.2261905,.0012582,.3270422,.1603755,.6987998,.0050329,.1641502,.1580527,.3249129,.0516841,.0012582,0,0,.0584592,0,.0574913,0,,.1603755,0,.0021293,.0164537,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0050329,.2800848,0,3,1696,1633,3357,534,13,0,0,604,0,594,0,,1657,0,22,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0275",2002,"NL226",3,28531,"Arnhem","NL009","Arnhem","GM0275",.8124555,35117,4600133,9501152,6905275,1895,2207,5865,6755,66,7596,3979,19307,168,.6207283,.066419,.0773545,.2055659,.23676,.0023133,.2662367,.1394623,.6767025,.0058883,.2055659,.1665557,.2486068,.0559742,.0023133,0,0,.0773545,0,.066419,0,,.1394623,0,.0176299,.0142301,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0058883,.3314118,1,3,5865,4752,7093,1597,66,0,0,2207,0,1895,0,,3979,0,503,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0268",2002,"NL226",3,91796,"Nijmegen","NL013","Nijmegen","GM0268",.769668,119267,4600133,9501152,6905275,10451,15025,17374,16998,73,18499,12524,51399,852,.4929191,.1138503,.1636782,.1892675,.1851715,.0007952,.2015229,.136433,.5599263,.0092814,.1892675,.1089154,.1947362,.0670073,.0007952,0,0,.1636782,0,.1138503,0,,.136433,0,.0067868,.0092488,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0092814,.3021682,1,3,17374,9998,17876,6151,73,0,0,15025,0,10451,0,,12524,0,623,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0293",2002,"NL226",3,9315,"Arnhem","NL009","Arnhem","GM0293",.7928334,11749,4600133,9501152,6905275,618,832,1602,2102,10,2574,1533,5969,44,.5821793,.0663446,.0893183,.1719807,.2256575,.0010735,.2763285,.1645733,.6407945,.0047236,.1719807,.1495437,.2606549,.0586151,.0010735,0,0,.0893183,0,.0663446,0,,.1645733,0,.0156736,.0174987,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0047236,.2731433,0,3,1602,1393,2428,546,10,0,0,832,0,618,0,,1533,0,146,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
