ccode,lau,year,NUTS3CODE,urban_combined,total_votes,Nameoffunctionalurbanarea,fua_oecd,fuaname,oecd_mun_id,to1,total_voters,total_urban_votes,total_nat_votes,total_urbano_votes,vote_communist,vote_green,vote_sd,vote_lib,vote_cons,vote_cd,vote_rpop,vote_mainstream,vote_other,main_netherlands,pct_communist,pct_green,pct_sd,pct_liberal,pct_cons,pct_cd,pct_rpop,pct_main,pct_other,share_party001,share_party002,share_party003,share_party004,share_party005,share_party006,share_party007,share_party008,share_party009,share_party0010,share_party0011,share_party0012,share_party0013,share_party0014,share_party0015,share_party0016,share_party0017,share_party0018,share_party0019,share_party0020,share_party0021,share_party0022,share_party0023,share_party0024,share_party0025,share_party0026,share_party0027,share_party0028,share_party0029,share_party0030,share_party0031,share_party0032,share_party0033,share_party0034,share_party0035,share_party0036,share_party0037,share_party0038,share_party0039,share_party0040,share_party0041,share_party0042,share_party0043,share_party0044,share_party0045,share_party0046,share_party0047,share_party0048,share_party0049,share_party0050,share_party0051,share_party0052,share_party0053,share_party0054,share_party0055,share_party0056,share_party0057,share_party0058,share_party0059,share_party0060,share_party0096,share_start,sd_start,party_top,party001,party002,party003,party004,party005,party006,party007,party008,party009,party0010,party0011,party0012,party0013,party0014,party0015,party0016,party0017,party0018,party0019,party0020,party0021,party0022,party0023,party0024,party0025,party0026,party0027,party0028,party0029,party0030,party0031,party0032,party0033,party0034,party0035,party0036,party0037,party0038,party0039,party0040,party0041,party0042,party0043,party0044,party0045,party0046,party0047,party0048,party0049,party0050,party0051,party0052,party0053,party0054,party0055,party0056,party0057,party0058,party0059,party0060,party0096
528,"GM1895",1994,"NL111",1,25008,"","","","GM1895",.8031039,31338,931242,8981556,2428641,237,908,10790,5329,846,3517,428,19636,2912,.6868602,.009477,.0363084,.4314619,.2130918,.0338292,.140635,.0171145,.7851887,.1164427,.4314619,.1147633,.140635,.0983285,.0011596,.0103567,.0223129,.0363084,.0148353,.009477,.006158,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.112564,.4597067,1,1,10790,2870,3517,2459,29,259,558,908,371,237,154,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0047",1994,"NL111",3,16637,"Groningen","NL007","Groningen","GM0047",.772377,21540,4363001,8981556,2428641,171,314,7320,4981,483,2154,421,14455,786,.725311,.0102783,.0188736,.4399832,.2993929,.0290317,.1294705,.025305,.8688465,.0472441,.4399832,.1558574,.1294705,.1435355,.0008415,.0130432,.015147,.0188736,.0220593,.0102783,.0036665,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0468233,.5006459,1,1,7320,2593,2154,2388,14,217,252,314,367,171,61,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1950",1994,"NL111",1,15370,"","","","GM1950",.7684522,20180,931242,8981556,2428641,107,440,6551,3631,537,2904,311,13086,861,.7552375,.0069616,.0286272,.4262199,.2362394,.0349382,.1889395,.0202342,.8513988,.0560182,.4262199,.1400781,.1889395,.0961614,.0014314,.0070917,.0264151,.0286272,.0175016,.0069616,.0054001,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0533507,.463019,1,1,6551,2153,2904,1478,22,109,406,440,269,107,83,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0765",1994,"NL111",2,7860,"","","","GM0765",.7738506,10157,1591451,8981556,2428641,100,655,3632,1402,321,1088,169,6122,486,.6956743,.0127226,.0833333,.4620865,.1783715,.0408397,.1384224,.0215013,.7788804,.0618321,.4620865,.0951654,.1384224,.0832061,.0025445,.0057252,.03257,.0833333,.0180662,.0127226,.0058524,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0594148,.4828893,1,1,3632,748,1088,654,20,45,256,655,142,100,46,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0037",1994,"NL111",2,19611,"","","","GM0037",.7615035,25753,1591451,8981556,2428641,138,303,6899,3925,2100,5077,323,15901,827,.7134262,.0070369,.0154505,.3517924,.2001428,.1070828,.2588853,.0164703,.8108205,.0421702,.3517924,.1027485,.2588853,.0973943,.0018357,.0412014,.0640457,.0154505,.0137168,.0070369,.0050482,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0398756,.3908094,1,1,6899,2015,5077,1910,36,808,1256,303,269,138,99,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0003",1994,"NL112",3,7484,"Groningen","NL007","Groningen","GM0003",.7725021,9688,4363001,8981556,2428641,97,134,2927,1925,264,1502,126,6354,500,.7056387,.012961,.0179049,.391101,.2572154,.0352753,.2006948,.0168359,.8490112,.0668092,.391101,.1138429,.2006948,.1433725,.0016034,.0189738,.014698,.0179049,.0136291,.012961,.0069482,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0630679,.4593618,1,1,2927,852,1502,1073,12,142,110,134,102,97,52,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0024",1994,"NL112",3,6745,"Groningen","NL007","Groningen","GM0024",.8277089,8149,4363001,8981556,2428641,50,253,2016,1524,630,1965,69,5505,221,.7079318,.0074129,.0375093,.2988881,.2259451,.0934025,.2913269,.0102298,.8161601,.032765,.2988881,.1177168,.2913269,.1082283,.0031134,.0638992,.0263899,.0375093,.0083024,.0074129,.004596,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0300964,.307009,0,1,2016,794,1965,730,21,431,178,253,56,50,31,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0010",1994,"NL112",3,18083,"Groningen","NL007","Groningen","GM0010",.7653856,23626,4363001,8981556,2428641,197,425,6767,4930,825,3340,386,15037,1187,.7003263,.0108942,.0235027,.3742189,.2726318,.045623,.1847039,.021346,.8315545,.0656418,.3742189,.1414035,.1847039,.1312282,.0018802,.0210142,.0227285,.0235027,.0172538,.0108942,.0070785,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0626555,.4191392,1,1,6767,2557,3340,2373,34,380,411,425,312,197,128,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1969",1994,"NL113",1,34098,"","","","GM1969",.8233496,41185,931242,8981556,2428641,146,783,8714,8774,4331,9789,410,27277,1074,.6880462,.0042818,.0229632,.2555575,.2573172,.1270162,.2870843,.0120242,.7999589,.0314974,.2555575,.1454044,.2870843,.1119127,.0036659,.0993313,.024019,.0229632,.0109391,.0042818,.004751,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0278315,.2761411,0,3,8714,4958,9789,3816,125,3387,819,783,373,146,162,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0014",1994,"NL113",3,127857,"Groningen","NL007","Groningen","GM0014",.8459466,160864,4363001,8981556,2428641,3900,9112,40844,43857,6895,16003,1361,100704,5849,.6030409,.0305028,.0712671,.3194506,.343016,.0539274,.1251633,.0106447,.78763,.0457464,.3194506,.158427,.1251633,.184589,.0013374,.0426414,.0099486,.0712671,.0089162,.0305028,.0053888,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0420861,.3704285,1,1,40844,20256,16003,23601,171,5452,1272,9112,1140,3900,689,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
