country,ccode,year,lau,launame,urban_area_type,NUTS3CODE,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc,pop_density_km_sq,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_under15,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,population_m_25plus,population_f_25plus,population_25plus,population_m_45to64,population_f_45to64,population_45to64,fuacode,fuaname,area_km_sq
Portugal,620,2011,011102,Mealhada,Metropolitan Area,PT16E,2186,2877,12534,753,1477,6098,1433,1400,6436,12.422572,16.349379,71.22805,9.0417871,17.735352,73.222862,15.460136,15.104111,69.435753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.60715,20428,17597,2831,,4326,9823,8328,1495,,1821,10605,9269,1336,,2505,,1073,1328,1483,1449,1174,960,1351,1625,1480,1348,2033,2679,3108,2929,2522,,,,,,,PT005,Coimbra,110.6566009521484
Portugal,620,2011,011201,Murtosa,Medium Sized Areas,PT16D,720,931,7295,268,439,3556,452,492,3739,8.0482893,10.406886,81.544823,6.2866526,10.297913,83.415436,9.6519327,10.506085,79.84198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.82582,10585,8946,1639,,2388,5096,4263,833,,998,5489,4683,806,,1390,,582,705,778,638,562,586,672,727,690,618,1168,1377,1505,1328,1180,,,,,,,,,73.08779907226563
Portugal,620,2011,011301,Oliveira de Azeméis,Medium Sized Areas,PT11A,4800,7860,46272,1788,3831,22833,3012,4029,23439,8.1449804,13.337406,78.517616,6.2842684,13.464783,80.250946,9.8818893,13.218504,76.899605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.88016,68611,58932,9679,,12042,33282,28452,4830,,5257,35329,30480,4849,,6785,,4012,4431,5265,5335,4152,3918,4360,5471,5484,4462,7930,8791,10736,10819,8614,,,,,,,,,161.10400390625
Portugal,620,2011,011403,Oliveira do Bairro,Medium Sized Areas,PT16D,2197,2817,14387,809,1363,6928,1388,1454,7459,11.324159,14.51987,74.155968,8.89011,14.978022,76.131866,13.47442,14.115134,72.410446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.71994,23028,19401,3627,,4736,10915,9100,1815,,2015,12113,10301,1812,,2721,,1205,1533,1798,1317,1232,1131,1705,1903,1460,1381,2336,3238,3701,2777,2613,,,,,,,,,87.31990051269531
Portugal,620,2011,011502,Ovar,Medium Sized Areas,PT16D,5707,7410,33698,2142,3755,16344,3565,3655,17354,12.190537,15.82826,71.981201,9.6308622,16.883234,73.485901,14.507203,14.873444,70.619354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.06476,55398,46815,8583,,8808,26671,22241,4430,,3731,28727,24574,4153,,5077,,3206,3604,4449,4041,3210,3080,3769,4683,4400,3565,6286,7373,9132,8441,6775,,,,,,,,,147.7024993896484
Portugal,620,2011,011601,São João da Madeira,Medium Sized Areas,PT11A,2482,3247,12858,908,1588,6149,1574,1659,6709,13.353419,17.469198,69.177383,10.503181,18.368999,71.127823,15.831824,16.686783,67.481392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2733.6021,21713,18587,3126,,3575,10222,8645,1577,,1542,11491,9942,1549,,2033,,1237,1513,1570,1533,1250,1277,1510,1785,1870,1467,2514,3023,3355,3403,2717,,,,,,,,,7.942999839782715
Portugal,620,2011,011702,Sever do Vouga,Rural and Towns,PT16D,927,1476,8313,318,684,4082,609,792,4231,8.6506157,13.773796,77.575584,6.2549176,13.453973,80.291107,10.81321,14.0625,75.12429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.137199,12356,10716,1640,,2876,5962,5084,878,,1225,6394,5632,762,,1651,,643,737,820,901,758,689,684,908,860,840,1332,1421,1728,1761,1598,,,,,,,,,129.8755950927734
Portugal,620,2011,011801,Vagos,Rural and Towns,PT16D,1785,2648,15013,651,1241,7349,1134,1407,7664,9.179266,13.617196,77.203537,7.044692,13.429282,79.526024,11.1122,13.787359,75.100441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.56221,22851,19446,3405,,4482,10984,9241,1743,,1917,11867,10205,1662,,2565,,1358,1505,1690,1479,1292,1355,1570,1705,1628,1382,2713,3075,3395,3107,2674,,,,,,,,,164.9151000976563
Portugal,620,2011,011901,Vale de Cambra,Rural and Towns,PT11A,1888,2700,15377,747,1356,7478,1141,1344,7899,9.4565487,13.523666,77.019783,7.7966809,14.153011,78.050308,10.988058,12.942989,76.068954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.18408,22864,19965,2899,,4829,11079,9581,1498,,2102,11785,10384,1401,,2727,,1296,1475,1566,1634,1508,1219,1398,1716,1659,1665,2515,2873,3282,3293,3173,,,,,,,,,147.3347015380859
Portugal,620,2011,020102,Aljustrel,Rural and Towns,PT184,654,1055,6485,232,478,3336,422,577,3149,7.9814496,12.875275,79.143272,5.7340584,11.814137,82.451805,10.173577,13.910318,75.916107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.190889,9257,8194,1063,,2358,4579,4046,533,,979,4678,4148,530,,1379,,485,555,620,673,734,413,460,565,674,657,898,1015,1185,1347,1391,,,,,,,,,458.47412109375
