country,ccode,year,lau,launame,urban_area_type,NUTS3CODE,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc,pop_density_km_sq,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_under15,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,population_m_25plus,population_f_25plus,population_25plus,population_m_45to64,population_f_45to64,population_45to64,fuacode,fuaname,area_km_sq
Portugal,620,2011,090801,Manteigas,Rural and Towns,PT16J,224,393,2470,82,200,1180,142,193,1290,7.2562356,12.730806,80.012955,5.6087551,13.679891,80.711357,8.7384615,11.876923,79.384613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.120401,3430,3087,343,,988,1622,1462,160,,416,1808,1625,183,,572,,183,173,179,253,258,171,160,179,271,272,354,333,358,524,530,,,,,,,,,121.9755020141602
Portugal,620,2011,090901,Mêda,Rural and Towns,PT16J,315,458,3907,114,205,1871,201,253,2036,6.7307692,9.7863245,83.482903,5.2054796,9.3607302,85.433792,8.0722895,10.160643,81.767067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.18568,5202,4680,522,,1788,2460,2190,270,,755,2742,2490,252,,1033,,239,247,264,347,338,207,251,261,364,374,446,498,525,711,712,,,,,,,,,286.0492248535156
Portugal,620,2011,091009,Pinhel,Rural and Towns,PT16J,571,992,7064,195,424,3427,376,568,3637,6.6187549,11.498783,81.882462,4.8195748,10.479486,84.700943,8.2078152,12.399039,79.393143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.869095,9627,8627,1000,,3139,4584,4046,538,,1329,5043,4581,462,,1810,,406,496,535,658,622,475,455,519,657,665,881,951,1054,1315,1287,,,,,,,,,484.5213012695313
Portugal,620,2011,091101,Sabugal,Rural and Towns,PT16J,670,1172,9698,232,559,4594,438,613,5104,5.8058925,10.155979,84.038132,4.3082638,10.380687,85.31105,7.1161656,9.959383,82.924454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.247388,12544,11540,1004,,5154,5885,5385,500,,2103,6659,6155,504,,3051,,477,567,594,838,806,490,454,579,748,833,967,1021,1173,1586,1639,,,,,,,,,822.6983032226563
Portugal,620,2011,091201,Seia,Rural and Towns,PT16J,1922,2934,17085,708,1435,8198,1214,1499,8887,8.7598562,13.372226,77.86792,6.8465333,13.876801,79.276665,10.465517,12.922414,76.612068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.696495,24702,21941,2761,,6478,11756,10341,1415,,2725,12946,11600,1346,,3753,,1288,1370,1450,1724,1784,1186,1365,1496,1888,1912,2474,2735,2946,3612,3696,,,,,,,,,435.6882934570313
Portugal,620,2011,091301,Trancoso,Rural and Towns,PT16J,691,1061,7021,222,465,3416,469,596,3605,7.8764391,12.093925,80.02964,5.410675,11.333171,83.256157,10.042827,12.762313,77.194862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.323166,9878,8773,1105,,2969,4686,4103,583,,1247,5192,4670,522,,1722,,519,508,553,660,616,506,502,569,672,699,1025,1010,1122,1332,1315,,,,,,,,,361.5247192382813
Portugal,620,2011,091401,Vila Nova de Foz Côa,Rural and Towns,PT11D,504,792,5224,189,395,2491,315,397,2733,7.7300615,12.14724,80.122696,6.1463413,12.845529,81.008133,9.1436863,11.523948,79.332367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.364859,7312,6520,792,,2276,3458,3075,383,,949,3854,3445,409,,1327,,347,367,407,510,495,329,357,424,481,527,676,724,831,991,1022,,,,,,,,,398.1517028808594
Portugal,620,2011,100102,Alcobaça,Rural and Towns,PT16B,4559,7621,36231,1620,3559,18009,2939,4062,18222,9.4172812,15.74229,74.840431,6.9863725,15.348456,77.665169,11.652063,16.104349,72.243584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.90549,56693,48411,8282,,11706,27457,23188,4269,,5105,29236,25223,4013,,6601,,3090,3398,4124,3965,3506,2905,3470,4336,4112,3799,5995,6868,8460,8077,7305,,,,,,,,,408.1408081054688
Portugal,620,2011,100201,Alvaiázere,Rural and Towns,PT16F,400,759,5341,148,350,2512,252,409,2829,6.1538463,11.676923,82.169228,4.9169436,11.627907,83.455147,7.2206302,11.719197,81.060173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.408207,7287,6500,787,,2391,3406,3010,396,,962,3881,3490,391,,1429,,350,356,403,479,460,358,292,415,489,507,708,648,818,968,967,,,,,,,,,160.4776000976563
Portugal,620,2011,100301,Ansião,Rural and Towns,PT16F,816,1702,8927,273,808,4259,543,894,4668,7.1297512,14.871122,77.999123,5.1123595,15.131086,79.756554,8.8943491,14.643735,76.461914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.550964,13128,11445,1683,,3524,6187,5340,847,,1452,6941,6105,836,,2072,,646,685,874,892,791,643,698,900,890,902,1289,1383,1774,1782,1693,,,,,,,,,176.0942993164063
Portugal,620,2011,100401,Batalha,Medium Sized Areas,PT16F,1332,2187,9816,444,1025,4938,888,1162,4878,9.9887514,16.40045,73.610802,6.9299202,15.998127,77.071953,12.817552,16.772518,70.409927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.82935,15805,13335,2470,,2961,7648,6407,1241,,1313,8157,6928,1229,,1648,,864,1048,1154,1098,930,841,1071,1271,1134,963,1705,2119,2425,2232,1893,,,,,,,,,103.4160003662109
Portugal,620,2011,100502,Bombarral,Rural and Towns,PT16B,965,1654,8806,351,783,4342,614,871,4464,8.4463892,14.477024,77.076584,6.4097881,14.298759,79.291451,10.321062,14.641116,75.037819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.52458,13193,11425,1768,,3049,6353,5476,877,,1300,6840,5949,891,,1749,,707,818,895,868,888,665,767,942,909,917,1372,1585,1837,1777,1805,,,,,,,,,91.28550720214844
Portugal,620,2011,100601,Caldas da Rainha,Rural and Towns,PT16B,5681,8013,30496,2177,3769,14739,3504,4244,15757,12.855849,18.133062,69.011086,10.524534,18.220934,71.254532,14.907467,18.055733,67.036804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.30785,51729,44190,7539,,10820,24505,20685,3820,,4621,27224,23505,3719,,6199,,2760,3317,3576,3434,2977,2733,3391,3937,3914,3331,5493,6708,7513,7348,6308,,,,,,,,,255.6944885253906
Portugal,620,2011,100703,Castanheira de Pêra,Rural and Towns,PT16F,146,314,2393,51,147,1154,95,167,1239,5.1174202,11.005959,83.876617,3.7721894,10.872781,85.355026,6.329114,11.125916,82.544968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.787704,3191,2853,338,,1000,1520,1352,168,,418,1671,1501,170,,582,,165,130,180,221,238,128,145,180,221,245,293,275,360,442,483,,,,,,,,,66.77449798583984
Portugal,620,2011,100801,Figueiró dos Vinhos,Rural and Towns,PT16F,365,690,4457,110,318,2120,255,372,2337,6.6219158,12.518143,80.85994,4.3171115,12.480377,83.202515,8.6032391,12.550608,78.846153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.568516,6169,5512,657,,1825,2892,2548,344,,745,3277,2964,313,,1080,,296,269,344,443,451,296,296,345,470,477,592,565,689,913,928,,,,,,,,,173.4399108886719
Portugal,620,2011,100901,Leiria,Rural and Towns,PT16F,15796,19152,72632,5866,9331,36201,9930,9821,36431,14.683026,17.802565,67.514404,11.412895,18.154404,70.432701,17.6747,17.480688,64.844612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.56126,126897,107580,19317,,22036,61319,51398,9921,,9632,65578,56182,9396,,12404,,7470,8679,9654,8752,7211,7088,9070,10203,9534,7883,14558,17749,19857,18286,15094,,,,,,,,,565.0885620117188
Portugal,620,2011,101001,Marinha Grande,Medium Sized Areas,PT16F,3650,6178,23051,1318,2921,11450,2332,3257,11601,11.101311,18.79011,70.108582,8.4007902,18.618139,72.981071,13.566027,18.947062,67.486908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.57199,38681,32879,5802,,7160,18623,15689,2934,,3110,20058,17190,2868,,4050,,1934,2569,3003,2607,2466,1813,2708,3134,2839,2646,3747,5277,6137,5446,5112,,,,,,,,,187.2519073486328
Portugal,620,2011,101101,Nazaré,Rural and Towns,PT16B,1276,2065,9711,487,1009,4663,789,1056,5048,9.7762794,15.82133,74.40239,7.9071279,16.38253,75.710342,11.446395,15.31989,73.233719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.87976,15158,13052,2106,,3053,7237,6159,1078,,1283,7921,6893,1028,,1770,,793,996,1097,960,1030,787,1002,1068,1112,1154,1580,1998,2165,2072,2184,,,,,,,,,82.43430328369141
Portugal,620,2011,101201,Óbidos,Rural and Towns,PT16B,924,1546,7579,361,723,3724,563,823,3855,9.1949444,15.384615,75.420441,7.5083194,15.037437,77.454247,10.742225,15.70311,73.554665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.162376,11772,10049,1723,,2598,5724,4808,916,,1116,6048,5241,807,,1482,,573,648,864,801,806,543,672,931,816,797,1116,1320,1795,1617,1603,,,,,,,,,141.5543975830078
Portugal,620,2011,101301,Pedrógão Grande,Rural and Towns,PT16F,189,453,2839,78,219,1323,111,234,1516,5.4294744,13.013502,81.557022,4.814815,13.518518,81.666664,5.9645352,12.573885,81.461578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.408358,3915,3481,434,,1311,1851,1620,231,,525,2064,1861,203,,786,,192,154,227,293,229,163,159,229,273,251,355,313,456,566,480,,,,,,,,,128.7474975585938
Portugal,620,2011,101402,Peniche,Medium Sized Areas,PT16B,2094,3390,18150,768,1574,8947,1326,1816,9203,8.860117,14.343742,76.796143,6.8030825,13.942776,79.254143,10.741191,14.710409,74.548401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.87277,27753,23634,4119,,5702,13444,11289,2155,,2491,14309,12345,1964,,3211,,1436,1806,1912,1865,1779,1431,1833,1937,2028,1905,2867,3639,3849,3893,3684,,,,,,,,,77.54990386962891
Portugal,620,2011,101501,Pombal,Rural and Towns,PT16F,3783,6911,36795,1330,3266,17871,2453,3645,18924,7.9660554,14.552844,77.481102,5.9197936,14.536877,79.543327,9.8033733,14.567181,75.629448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.205673,55217,47489,7728,,13170,26422,22467,3955,,5666,28795,25022,3773,,7504,,3040,3243,3650,3698,3170,2822,3429,3853,3790,3624,5862,6672,7503,7488,6794,,,,,,,,,626.0028076171875
Portugal,620,2011,101602,Porto de Mós,Rural and Towns,PT16F,1832,3023,15829,609,1402,7937,1223,1621,7892,8.8570871,14.615162,76.527748,6.1218333,14.093285,79.784882,11.39158,15.098733,73.509689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.967339,24342,20684,3658,,5060,11864,9948,1916,,2212,12478,10736,1742,,2848,,1305,1553,1813,1689,1376,1242,1564,1818,1731,1533,2547,3117,3631,3420,2909,,,,,,,,,261.8338928222656
Portugal,620,2011,110106,Alenquer,Outskirts of Major City,PT16B,3329,6515,26286,1192,3058,13138,2137,3457,13148,9.2139492,18.032106,72.753944,6.8553023,17.586842,75.557854,11.402198,18.445204,70.152596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2231,43267,36130,7137,,7577,21066,17388,3678,,3270,22201,18742,3459,,4307,,2223,3121,3500,2894,2380,2203,3131,3663,2996,2442,4426,6252,7163,5890,4822,,,,,,,PT001,Lisboa,304.2192077636719
Portugal,620,2011,110201,Arruda dos Vinhos,Outskirts of Major City,PT16B,1514,2098,7317,549,1034,3668,965,1064,3649,13.853051,19.196632,66.950317,10.455152,19.691488,69.853363,16.99542,18.738993,64.265587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.76891,13391,10929,2462,,2309,6571,5251,1320,,999,6820,5678,1142,,1310,,626,940,1137,848,701,607,984,1161,874,742,1233,1924,2298,1722,1443,,,,,,,PT001,Lisboa,77.95939636230469
Portugal,620,2011,110301,Azambuja,Outskirts of Major City,PT185,1569,3085,13954,567,1512,7325,1002,1573,6629,8.4318571,16.57889,74.98925,6.0293493,16.078264,77.892387,10.886571,17.090395,72.023033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.051437,21814,18608,3206,,4395,11031,9404,1627,,1929,10783,9204,1579,,2466,,981,1734,1926,1495,1339,975,1429,1533,1400,1401,1956,3163,3459,2895,2740,,,,,,,PT001,Lisboa,262.656494140625
Portugal,620,2011,110401,Cadaval,Rural and Towns,PT16B,804,1770,9632,284,824,4726,520,946,4906,6.5869246,14.501065,78.91201,4.8680153,14.1241,81.007881,8.1607027,14.846202,76.993095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.352646,14228,12206,2022,,3642,6871,5834,1037,,1572,7357,6372,985,,2070,,609,861,998,898,896,645,843,943,931,940,1254,1704,1941,1829,1836,,,,,,,,,174.8928985595703
Portugal,620,2011,110501,Cascais,Major City and Close Suburbs,PT170,44184,39880,89760,19111,19219,41713,25073,20661,48047,25.418814,22.942747,51.638439,23.875917,24.010843,52.113239,26.735693,22.031115,51.233192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119.8706,206479,173824,32655,,36714,96866,80043,16823,,15179,109613,93781,15832,,21535,,11093,13403,15483,13176,11709,10634,14410,17265,15564,14373,21727,27813,32748,28740,26082,,,,,,,PT001,Lisboa,97.40169525146484
Portugal,620,2011,110601,Lisboa,Major City and Close Suburbs,PT170,148413,86011,242815,66094,42936,105851,82319,43075,136964,31.098255,18.022627,50.87912,30.758419,19.981293,49.260288,31.376593,16.418406,52.205002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5474.3687,547733,477239,70494,,130960,250874,214881,35993,,49223,296859,262358,34501,,81737,,26980,38685,36711,32333,30949,26527,39697,38906,37068,38423,53507,78382,75617,69401,69372,,,,,,,PT001,Lisboa,100.0540924072266
Portugal,620,2011,110702,Loures,Major City and Close Suburbs,PT170,26257,33119,113622,10638,16371,54750,15619,16748,58872,15.177632,19.144152,65.678215,13.011412,20.023483,66.965103,17.118776,18.356186,64.52504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226.1069,205054,172998,32056,,35277,98266,81759,16507,,15423,106788,91239,15549,,19854,,11327,14452,15177,12841,12539,11273,15105,16011,14487,14509,22600,29557,31188,27328,27048,,,,,,,PT001,Lisboa,167.2398986816406
Portugal,620,2011,110803,Lourinhã,Rural and Towns,PT16B,1906,3394,16467,657,1550,8299,1249,1844,8168,8.7563744,15.59241,75.651215,6.2535696,14.753474,78.992958,11.091377,16.375099,72.533524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.86343,25735,21767,3968,,5051,12518,10506,2012,,2251,13217,11261,1956,,2800,,1389,1678,1899,1680,1609,1340,1764,1904,1769,1684,2729,3442,3803,3449,3293,,,,,,,,,147.1719970703125
