report_type	year	country	lau_id	lau_name
missing-data	1986	CA	2479914	Lac-Oscar
missing-data	1986	CA	2407910	Ruisseau-des-Mineurs
missing-data	1986	CA	2408902	Rivière-Bonjour
missing-data	1986	CA	2435906	Rivière-de-la-Savane
missing-data	1986	CA	2479922	Lac-Douaire
missing-data	1986	CA	4620066	Division No. 20, Unorganized, South Part
missing-data	1986	CA	2492904	Rivière-Mistassini
missing-data	1986	CA	2493906	Lac-Achouakan
missing-data	1986	CA	2483912	Dépôt-Échouani
missing-data	1986	CA	2406902	Rivière-Nouvelle
missing-data	1986	CA	2483904	Cascades-Malignes
missing-data	1986	CA	2479926	Lac-Marguerite
missing-data	1986	CA	2462902	Lac-Minaki
missing-data	1986	CA	2479916	Lac-de-la-Maison-de-Pierre
missing-data	1986	CA	2422902	Lac-Croche
missing-data	1986	CA	2409904	Lac-à-la-Croix
missing-data	1986	CA	2494928	Lac-Ministuk
missing-data	1986	CA	2434906	Lac-Lapeyrère
missing-data	1986	CA	2406904	Ruisseau-Ferguson
missing-data	1986	CA	2407902	Routhierville
missing-data	1986	CA	2479924	Lac-Ernest
missing-data	2001	CA	2402902	Mont-Alexandre
missing-data	2001	CA	2462908	Lac-Matawin
missing-data	2001	CA	4704038	Arlington No. 79
missing-data	2001	CA	3554091	Timiskaming, Unorganized, East Part
missing-data	2001	CA	2462914	Lac-des-Dix-Milles
missing-data	2001	CA	2479902	Lac-de-la-Pomme
missing-data	2001	CA	2462910	Lac-Legendre
missing-data	2001	CA	2483902	Lac-Pythonga
missing-data	2001	CA	2484902	Lac-Nilgaut
missing-data	2001	CA	2462918	Baie-Obaoca
missing-data	2001	CA	4713059	Tramping Lake No. 380
missing-data	2001	CA	2493908	Belle-Rivière
missing-data	2001	CA	2483908	Lac-Moselle
missing-data	2001	CA	4618093	Division No. 18, Unorganized, West Part
missing-data	2001	CA	2435902	Lac-Masketsi
missing-data	2001	CA	2483906	Lac-Lenôtre
missing-data	2001	CA	2479912	Lac-De La Bidière
missing-data	2001	CA	4618091	Division No. 18, Unorganized, East Part
missing-data	2001	CA	2495902	Lac-au-Brochet
missing-data	2001	CA	2407912	Lac-Alfred
missing-data	2001	CA	2479910	Lac-Bazinet
missing-data	2001	CA	2494930	Mont-Valin
missing-data	2001	CA	4708021	Enterprise No. 142
missing-data	2001	CA	2493904	Lac-Moncouche
missing-data	2001	CA	2487902	Lac-Duparquet
missing-data	2001	CA	2494926	Lalemant
missing-data	2001	CA	2434902	Lac-Blanc
missing-data	2001	CA	2415904	Sagard
missing-data	2001	CA	2479920	Baie-des-Chaloupes
missing-data	2001	CA	2435904	Lac-Normand
missing-data	2001	CA	2414904	Petit-Lac-Sainte-Anne
missing-data	2001	CA	2479914	Lac-Oscar
missing-data	2001	CA	2407910	Ruisseau-des-Mineurs
missing-data	2001	CA	2408902	Rivière-Bonjour
missing-data	2001	CA	2435906	Rivière-de-la-Savane
missing-data	2001	CA	2478802	Doncaster
missing-data	2001	CA	4620066	Division No. 20, Unorganized, South Part
missing-data	2001	CA	4707004	Hillsborough No. 132
missing-data	2001	CA	2492904	Rivière-Mistassini
missing-data	2001	CA	2479922	Lac-Douaire
missing-data	2001	CA	2493906	Lac-Achouakan
missing-data	2001	CA	2483912	Dépôt-Échouani
missing-data	2001	CA	2406902	Rivière-Nouvelle
missing-data	2001	CA	2483904	Cascades-Malignes
missing-data	2001	CA	2479926	Lac-Marguerite
missing-data	2001	CA	2462912	Saint-Guillaume-Nord
missing-data	2001	CA	2462902	Lac-Minaki
missing-data	2001	CA	2479916	Lac-de-la-Maison-de-Pierre
missing-data	2001	CA	2422902	Lac-Croche
missing-data	2001	CA	2409904	Lac-à-la-Croix
missing-data	2001	CA	2494928	Lac-Ministuk
missing-data	2001	CA	2434906	Lac-Lapeyrère
missing-data	2001	CA	2405902	Rivière-Bonaventure
missing-data	2001	CA	2406904	Ruisseau-Ferguson
missing-data	2001	CA	2415902	Mont-Élie
missing-data	2001	CA	2407902	Routhierville
missing-data	2001	CA	2479924	Lac-Ernest
missing-data	2006	CA	2402902	Mont-Alexandre
missing-data	2006	CA	2462908	Lac-Matawin
missing-data	2006	CA	3554091	Timiskaming, Unorganized, East Part
missing-data	2006	CA	2462914	Lac-des-Dix-Milles
missing-data	2006	CA	2479902	Lac-de-la-Pomme
missing-data	2006	CA	2462910	Lac-Legendre
missing-data	2006	CA	2483902	Lac-Pythonga
missing-data	2006	CA	2484902	Lac-Nilgaut
missing-data	2006	CA	2462918	Baie-Obaoca
missing-data	2006	CA	2493908	Belle-Rivière
missing-data	2006	CA	2483908	Lac-Moselle
missing-data	2006	CA	4618093	Division No. 18, Unorganized, West Part
missing-data	2006	CA	2435902	Lac-Masketsi
missing-data	2006	CA	4816051	Improvement District No. 24 Wood Buffalo
missing-data	2006	CA	2483906	Lac-Lenôtre
missing-data	2006	CA	2479912	Lac-De La Bidière
missing-data	2006	CA	4618091	Division No. 18, Unorganized, East Part
missing-data	2006	CA	2495902	Lac-au-Brochet
missing-data	2006	CA	2407912	Lac-Alfred
missing-data	2006	CA	2479910	Lac-Bazinet
missing-data	2006	CA	2494930	Mont-Valin
missing-data	2006	CA	2493904	Lac-Moncouche
missing-data	2006	CA	2487902	Lac-Duparquet
missing-data	2006	CA	2494926	Lalemant
missing-data	2006	CA	2434902	Lac-Blanc
missing-data	2006	CA	4617092	Division No. 17, Unorganized
missing-data	2006	CA	2479920	Baie-des-Chaloupes
missing-data	2006	CA	2435904	Lac-Normand
missing-data	2006	CA	2414904	Petit-Lac-Sainte-Anne
missing-data	2006	CA	2479914	Lac-Oscar
missing-data	2006	CA	2407910	Ruisseau-des-Mineurs
missing-data	2006	CA	2408902	Rivière-Bonjour
missing-data	2006	CA	2435906	Rivière-de-la-Savane
missing-data	2006	CA	2478802	Doncaster
missing-data	2006	CA	4620066	Division No. 20, Unorganized, South Part
missing-data	2006	CA	2492904	Rivière-Mistassini
missing-data	2006	CA	2479922	Lac-Douaire
missing-data	2006	CA	2493906	Lac-Achouakan
missing-data	2006	CA	4702014	Surprise Valley No. 9
missing-data	2006	CA	2483912	Dépôt-Échouani
missing-data	2006	CA	2406902	Rivière-Nouvelle
missing-data	2006	CA	2483904	Cascades-Malignes
missing-data	2006	CA	2479926	Lac-Marguerite
missing-data	2006	CA	2462902	Lac-Minaki
missing-data	2006	CA	2479916	Lac-de-la-Maison-de-Pierre
missing-data	2006	CA	2422902	Lac-Croche
missing-data	2006	CA	2409904	Lac-à-la-Croix
missing-data	2006	CA	2494928	Lac-Ministuk
missing-data	2006	CA	2434906	Lac-Lapeyrère
missing-data	2006	CA	2405902	Rivière-Bonaventure
missing-data	2006	CA	2406904	Ruisseau-Ferguson
missing-data	2006	CA	2415902	Mont-Élie
missing-data	2006	CA	2407902	Routhierville
missing-data	2006	CA	2479924	Lac-Ernest
missing-data	2016	CA	2402902	Mont-Alexandre
missing-data	2016	CA	2462908	Lac-Matawin
missing-data	2016	CA	3554091	Timiskaming, Unorganized, East Part
missing-data	2016	CA	2462914	Lac-des-Dix-Milles
missing-data	2016	CA	2479902	Lac-de-la-Pomme
missing-data	2016	CA	2462910	Lac-Legendre
missing-data	2016	CA	2483902	Lac-Pythonga
missing-data	2016	CA	2408015	Grosses-Roches
missing-data	2016	CA	2484902	Lac-Nilgaut
missing-data	2016	CA	2462918	Baie-Obaoca
missing-data	2016	CA	2483908	Lac-Moselle
missing-data	2016	CA	2429020	Saint-Hilaire-de-Dorset
missing-data	2016	CA	4618093	Division No. 18, Unorganized, West Part
missing-data	2016	CA	2435902	Lac-Masketsi
missing-data	2016	CA	2483906	Lac-Lenôtre
missing-data	2016	CA	2479912	Lac-De La Bidière
missing-data	2016	CA	2495902	Lac-au-Brochet
missing-data	2016	CA	2407912	Lac-Alfred
missing-data	2016	CA	2479910	Lac-Bazinet
missing-data	2016	CA	2494930	Mont-Valin
missing-data	2016	CA	2493904	Lac-Moncouche
missing-data	2016	CA	2487902	Lac-Duparquet
missing-data	2016	CA	2494926	Lalemant
missing-data	2016	CA	2434902	Lac-Blanc
missing-data	2016	CA	2478802	Doncaster
missing-data	2016	CA	2479920	Baie-des-Chaloupes
missing-data	2016	CA	2435904	Lac-Normand
missing-data	2016	CA	2414904	Petit-Lac-Sainte-Anne
missing-data	2016	CA	2479914	Lac-Oscar
missing-data	2016	CA	2407910	Ruisseau-des-Mineurs
missing-data	2016	CA	2408902	Rivière-Bonjour
missing-data	2016	CA	2435906	Rivière-de-la-Savane
missing-data	2016	CA	2479922	Lac-Douaire
missing-data	2016	CA	4713019	Prairiedale No. 321
missing-data	2016	CA	2493906	Lac-Achouakan
missing-data	2016	CA	2483912	Dépôt-Échouani
missing-data	2016	CA	2406902	Rivière-Nouvelle
missing-data	2016	CA	2483904	Cascades-Malignes
missing-data	2016	CA	2479926	Lac-Marguerite
missing-data	2016	CA	2462902	Lac-Minaki
missing-data	2016	CA	2479916	Lac-de-la-Maison-de-Pierre
missing-data	2016	CA	2422902	Lac-Croche
missing-data	2016	CA	2409904	Lac-à-la-Croix
missing-data	2016	CA	4703016	Glen McPherson No. 46
missing-data	2016	CA	2494928	Lac-Ministuk
missing-data	2016	CA	2434906	Lac-Lapeyrère
missing-data	2016	CA	2405902	Rivière-Bonaventure
missing-data	2016	CA	2406904	Ruisseau-Ferguson
missing-data	2016	CA	2407902	Routhierville
missing-data	2016	CA	3554034	Hilliard
missing-data	2016	CA	2479924	Lac-Ernest
missing-data	1991	CA	2402902	Mont-Alexandre
missing-data	1991	CA	2462908	Lac-Matawin
missing-data	1991	CA	3554091	Timiskaming, Unorganized, East Part
missing-data	1991	CA	2462914	Lac-des-Dix-Milles
missing-data	1991	CA	2479902	Lac-de-la-Pomme
missing-data	1991	CA	2462910	Lac-Legendre
missing-data	1991	CA	2483902	Lac-Pythonga
missing-data	1991	CA	2484902	Lac-Nilgaut
missing-data	1991	CA	2462918	Baie-Obaoca
missing-data	1991	CA	2493908	Belle-Rivière
missing-data	1991	CA	2483908	Lac-Moselle
